id,name,state_id/id,municipio_id/id,ciudad_id/id
cfd_mx.res_country_state_cp_52007,52007,MEX,,
cfd_mx.res_country_state_cp_52008,52008,MEX,,
cfd_mx.res_country_state_cp_52009,52009,MEX,,
cfd_mx.res_country_state_cp_52010051,52010,MEX,051,
cfd_mx.res_country_state_cp_52011,52011,MEX,,
cfd_mx.res_country_state_cp_52012,52012,MEX,,
cfd_mx.res_country_state_cp_52013,52013,MEX,,
cfd_mx.res_country_state_cp_52014,52014,MEX,,
cfd_mx.res_country_state_cp_52015,52015,MEX,,
cfd_mx.res_country_state_cp_52016,52016,MEX,,
cfd_mx.res_country_state_cp_52017,52017,MEX,,
cfd_mx.res_country_state_cp_52018,52018,MEX,,
cfd_mx.res_country_state_cp_52019,52019,MEX,,
cfd_mx.res_country_state_cp_52020051,52020,MEX,051,
cfd_mx.res_country_state_cp_52021,52021,MEX,,
cfd_mx.res_country_state_cp_52022,52022,MEX,,
cfd_mx.res_country_state_cp_52023,52023,MEX,,
cfd_mx.res_country_state_cp_52024,52024,MEX,,
cfd_mx.res_country_state_cp_52025,52025,MEX,,
cfd_mx.res_country_state_cp_52026,52026,MEX,,
cfd_mx.res_country_state_cp_52027,52027,MEX,,
cfd_mx.res_country_state_cp_52028,52028,MEX,,
cfd_mx.res_country_state_cp_52029,52029,MEX,,
cfd_mx.res_country_state_cp_52030051,52030,MEX,051,
cfd_mx.res_country_state_cp_52031,52031,MEX,,
cfd_mx.res_country_state_cp_52032,52032,MEX,,
cfd_mx.res_country_state_cp_52033,52033,MEX,,
cfd_mx.res_country_state_cp_52034,52034,MEX,,
cfd_mx.res_country_state_cp_52035,52035,MEX,,
cfd_mx.res_country_state_cp_52036,52036,MEX,,
cfd_mx.res_country_state_cp_52037,52037,MEX,,
cfd_mx.res_country_state_cp_52038,52038,MEX,,
cfd_mx.res_country_state_cp_52039,52039,MEX,,
cfd_mx.res_country_state_cp_52040051,52040,MEX,051,
cfd_mx.res_country_state_cp_52041,52041,MEX,,
cfd_mx.res_country_state_cp_52042,52042,MEX,,
cfd_mx.res_country_state_cp_52043051,52043,MEX,051,
cfd_mx.res_country_state_cp_52044051,52044,MEX,051,
cfd_mx.res_country_state_cp_52045051,52045,MEX,051,
cfd_mx.res_country_state_cp_52046051,52046,MEX,051,
cfd_mx.res_country_state_cp_52047051,52047,MEX,051,
cfd_mx.res_country_state_cp_52048,52048,MEX,,
cfd_mx.res_country_state_cp_52049,52049,MEX,,
cfd_mx.res_country_state_cp_52050051,52050,MEX,051,
cfd_mx.res_country_state_cp_52051,52051,MEX,,
cfd_mx.res_country_state_cp_52052,52052,MEX,,
cfd_mx.res_country_state_cp_52053,52053,MEX,,
cfd_mx.res_country_state_cp_52054051,52054,MEX,051,
cfd_mx.res_country_state_cp_52055051,52055,MEX,051,
cfd_mx.res_country_state_cp_52056,52056,MEX,,
cfd_mx.res_country_state_cp_52057,52057,MEX,,
cfd_mx.res_country_state_cp_52058,52058,MEX,,
cfd_mx.res_country_state_cp_52059051,52059,MEX,051,
cfd_mx.res_country_state_cp_52060115,52060,MEX,115,
cfd_mx.res_country_state_cp_52061,52061,MEX,,
cfd_mx.res_country_state_cp_52062,52062,MEX,,
cfd_mx.res_country_state_cp_52063,52063,MEX,,
cfd_mx.res_country_state_cp_52064115,52064,MEX,115,
