id,clave_sat,state_id/id,name
cfd_mx.res_country_state_municipio_003TLA,003,TLA,Atlangatepec
cfd_mx.res_country_state_municipio_003VER,003,VER,Acayucan
cfd_mx.res_country_state_municipio_003YUC,003,YUC,Akil
cfd_mx.res_country_state_municipio_003ZAC,003,ZAC,Atolinga
cfd_mx.res_country_state_municipio_004AGU,004,AGU,Cosío
cfd_mx.res_country_state_municipio_004BCN,004,BCN,Tijuana
cfd_mx.res_country_state_municipio_004CAM,004,CAM,Champotón
cfd_mx.res_country_state_municipio_004COA,004,COA,Arteaga
cfd_mx.res_country_state_municipio_004COL,004,COL,Coquimatlán
cfd_mx.res_country_state_municipio_004CHH,004,CHH,Aquiles Serdán
cfd_mx.res_country_state_municipio_004CHP,004,CHP,Altamirano
cfd_mx.res_country_state_municipio_004DIF,004,DIF,Cuajimalpa de Morelos
cfd_mx.res_country_state_municipio_004DUR,004,DUR,Cuencamé
cfd_mx.res_country_state_municipio_004GRO,004,GRO,Alcozauca de Guerrero
cfd_mx.res_country_state_municipio_004GUA,004,GUA,Apaseo el Alto
cfd_mx.res_country_state_municipio_004HID,004,HID,Agua Blanca de Iturbide
cfd_mx.res_country_state_municipio_004JAL,004,JAL,Amacueca
cfd_mx.res_country_state_municipio_004MEX,004,MEX,Almoloya de Alquisiras
cfd_mx.res_country_state_municipio_004MIC,004,MIC,Angamacutiro
cfd_mx.res_country_state_municipio_004MOR,004,MOR,Ayala
cfd_mx.res_country_state_municipio_004NAY,004,NAY,Compostela
cfd_mx.res_country_state_municipio_004NLE,004,NLE,Allende
cfd_mx.res_country_state_municipio_004OAX,004,OAX,Asunción Cuyotepeji
cfd_mx.res_country_state_municipio_004PUE,004,PUE,Acatzingo
cfd_mx.res_country_state_municipio_004QUE,004,QUE,Cadereyta de Montes
cfd_mx.res_country_state_municipio_004ROO,004,ROO,Othón P. Blanco
cfd_mx.res_country_state_municipio_004SIN,004,SIN,Concordia
cfd_mx.res_country_state_municipio_004SLP,004,SLP,Armadillo de los Infante
cfd_mx.res_country_state_municipio_004SON,004,SON,Altar
cfd_mx.res_country_state_municipio_004TAB,004,TAB,Centro
cfd_mx.res_country_state_municipio_004TAM,004,TAM,Antiguo Morelos
cfd_mx.res_country_state_municipio_004TLA,004,TLA,Atltzayanca
cfd_mx.res_country_state_municipio_004VER,004,VER,Actopan
cfd_mx.res_country_state_municipio_004YUC,004,YUC,Baca
cfd_mx.res_country_state_municipio_004ZAC,004,ZAC,Benito Juárez
cfd_mx.res_country_state_municipio_005AGU,005,AGU,Jesús María
cfd_mx.res_country_state_municipio_005BCN,005,BCN,Playas de Rosarito
cfd_mx.res_country_state_municipio_005CAM,005,CAM,Hecelchakán
cfd_mx.res_country_state_municipio_005COA,005,COA,Candela
cfd_mx.res_country_state_municipio_005COL,005,COL,Cuauhtémoc
cfd_mx.res_country_state_municipio_005CHH,005,CHH,Ascensión
cfd_mx.res_country_state_municipio_005CHP,005,CHP,Amatán
cfd_mx.res_country_state_municipio_005DIF,005,DIF,Gustavo A. Madero
cfd_mx.res_country_state_municipio_005DUR,005,DUR,Durango
cfd_mx.res_country_state_municipio_005GRO,005,GRO,Alpoyeca
cfd_mx.res_country_state_municipio_005GUA,005,GUA,Apaseo el Grande
cfd_mx.res_country_state_municipio_005HID,005,HID,Ajacuba
cfd_mx.res_country_state_municipio_005JAL,005,JAL,Amatitán
cfd_mx.res_country_state_municipio_005MEX,005,MEX,Almoloya de Juárez
cfd_mx.res_country_state_municipio_005MIC,005,MIC,Angangueo
cfd_mx.res_country_state_municipio_005MOR,005,MOR,Coatlán del Río
cfd_mx.res_country_state_municipio_005NAY,005,NAY,Huajicori
cfd_mx.res_country_state_municipio_005NLE,005,NLE,Anáhuac
cfd_mx.res_country_state_municipio_005OAX,005,OAX,Asunción Ixtaltepec
cfd_mx.res_country_state_municipio_005PUE,005,PUE,Acteopan
cfd_mx.res_country_state_municipio_005QUE,005,QUE,Colón
cfd_mx.res_country_state_municipio_005ROO,005,ROO,Benito Juárez
cfd_mx.res_country_state_municipio_005SIN,005,SIN,Cosalá
cfd_mx.res_country_state_municipio_005SLP,005,SLP,Cárdenas
cfd_mx.res_country_state_municipio_005SON,005,SON,Arivechi
