id,name,state_id/id,municipio_id/id,ciudad_id/id
cfd_mx.res_country_state_cp_77063,77063,ROO,,
cfd_mx.res_country_state_cp_77064,77064,ROO,,
cfd_mx.res_country_state_cp_77065,77065,ROO,,
cfd_mx.res_country_state_cp_77066,77066,ROO,,
cfd_mx.res_country_state_cp_77067,77067,ROO,,
cfd_mx.res_country_state_cp_77068,77068,ROO,,
cfd_mx.res_country_state_cp_77069,77069,ROO,,
cfd_mx.res_country_state_cp_7707000404,77070,ROO,004,04
cfd_mx.res_country_state_cp_77071,77071,ROO,,
cfd_mx.res_country_state_cp_77072,77072,ROO,,
cfd_mx.res_country_state_cp_77073,77073,ROO,,
cfd_mx.res_country_state_cp_77074,77074,ROO,,
cfd_mx.res_country_state_cp_77075,77075,ROO,,
cfd_mx.res_country_state_cp_77076,77076,ROO,,
cfd_mx.res_country_state_cp_77077,77077,ROO,,
cfd_mx.res_country_state_cp_77078,77078,ROO,,
cfd_mx.res_country_state_cp_7707900404,77079,ROO,004,04
cfd_mx.res_country_state_cp_7708000404,77080,ROO,004,04
cfd_mx.res_country_state_cp_77081,77081,ROO,,
cfd_mx.res_country_state_cp_7708200404,77082,ROO,004,04
cfd_mx.res_country_state_cp_7708300404,77083,ROO,004,04
cfd_mx.res_country_state_cp_7708400404,77084,ROO,004,04
cfd_mx.res_country_state_cp_7708500404,77085,ROO,004,04
cfd_mx.res_country_state_cp_7708600404,77086,ROO,004,04
cfd_mx.res_country_state_cp_7708700404,77087,ROO,004,04
cfd_mx.res_country_state_cp_77088,77088,ROO,,
cfd_mx.res_country_state_cp_77089,77089,ROO,,
cfd_mx.res_country_state_cp_7709000404,77090,ROO,004,04
cfd_mx.res_country_state_cp_77091,77091,ROO,,
cfd_mx.res_country_state_cp_77092,77092,ROO,,
cfd_mx.res_country_state_cp_77093,77093,ROO,,
cfd_mx.res_country_state_cp_77094,77094,ROO,,
cfd_mx.res_country_state_cp_77095,77095,ROO,,
cfd_mx.res_country_state_cp_77096,77096,ROO,,
cfd_mx.res_country_state_cp_77097,77097,ROO,,
cfd_mx.res_country_state_cp_7709800404,77098,ROO,004,04
cfd_mx.res_country_state_cp_7709900404,77099,ROO,004,04
cfd_mx.res_country_state_cp_77100002,77100,ROO,002,
cfd_mx.res_country_state_cp_77101,77101,ROO,,
cfd_mx.res_country_state_cp_77102,77102,ROO,,
cfd_mx.res_country_state_cp_77103,77103,ROO,,
cfd_mx.res_country_state_cp_77104002,77104,ROO,002,
cfd_mx.res_country_state_cp_77105002,77105,ROO,002,
cfd_mx.res_country_state_cp_77106002,77106,ROO,002,
cfd_mx.res_country_state_cp_77107002,77107,ROO,002,
cfd_mx.res_country_state_cp_77108002,77108,ROO,002,
cfd_mx.res_country_state_cp_77109,77109,ROO,,
cfd_mx.res_country_state_cp_77110002,77110,ROO,002,
cfd_mx.res_country_state_cp_77111,77111,ROO,,
cfd_mx.res_country_state_cp_77112,77112,ROO,,
cfd_mx.res_country_state_cp_77113,77113,ROO,,
cfd_mx.res_country_state_cp_77114002,77114,ROO,002,
cfd_mx.res_country_state_cp_77115002,77115,ROO,002,
cfd_mx.res_country_state_cp_77116002,77116,ROO,002,
cfd_mx.res_country_state_cp_77117002,77117,ROO,002,
cfd_mx.res_country_state_cp_77118002,77118,ROO,002,
cfd_mx.res_country_state_cp_77119,77119,ROO,,
cfd_mx.res_country_state_cp_77120002,77120,ROO,002,
cfd_mx.res_country_state_cp_77121002,77121,ROO,002,
cfd_mx.res_country_state_cp_77122,77122,ROO,,
cfd_mx.res_country_state_cp_77123002,77123,ROO,002,
cfd_mx.res_country_state_cp_77124,77124,ROO,,
cfd_mx.res_country_state_cp_77125002,77125,ROO,002,
cfd_mx.res_country_state_cp_77126,77126,ROO,,
cfd_mx.res_country_state_cp_77127,77127,ROO,,
cfd_mx.res_country_state_cp_77128,77128,ROO,,
cfd_mx.res_country_state_cp_77129,77129,ROO,,
cfd_mx.res_country_state_cp_77130002,77130,ROO,002,
cfd_mx.res_country_state_cp_77131,77131,ROO,,
cfd_mx.res_country_state_cp_77132,77132,ROO,,
cfd_mx.res_country_state_cp_77133,77133,ROO,,
cfd_mx.res_country_state_cp_77134,77134,ROO,,
cfd_mx.res_country_state_cp_77135002,77135,ROO,002,
cfd_mx.res_country_state_cp_77136,77136,ROO,,
