id,name,state_id/id,municipio_id/id,ciudad_id/id
cfd_mx.res_country_state_cp_2011000101,20110,AGU,001,01
cfd_mx.res_country_state_cp_20111,20111,AGU,,
cfd_mx.res_country_state_cp_20112,20112,AGU,,
cfd_mx.res_country_state_cp_20113,20113,AGU,,
cfd_mx.res_country_state_cp_20114,20114,AGU,,
cfd_mx.res_country_state_cp_2011500101,20115,AGU,001,01
cfd_mx.res_country_state_cp_2011600101,20116,AGU,001,01
cfd_mx.res_country_state_cp_2011700101,20117,AGU,001,01
cfd_mx.res_country_state_cp_2011800101,20118,AGU,001,01
cfd_mx.res_country_state_cp_2011900101,20119,AGU,001,01
cfd_mx.res_country_state_cp_2012000101,20120,AGU,001,01
cfd_mx.res_country_state_cp_20121,20121,AGU,,
cfd_mx.res_country_state_cp_20122,20122,AGU,,
cfd_mx.res_country_state_cp_2012300101,20123,AGU,001,01
cfd_mx.res_country_state_cp_2012400101,20124,AGU,001,01
cfd_mx.res_country_state_cp_20125,20125,AGU,,
cfd_mx.res_country_state_cp_20126001,20126,AGU,001,
cfd_mx.res_country_state_cp_2012700101,20127,AGU,001,01
cfd_mx.res_country_state_cp_20128,20128,AGU,,
cfd_mx.res_country_state_cp_2012900101,20129,AGU,001,01
cfd_mx.res_country_state_cp_2013000101,20130,AGU,001,01
cfd_mx.res_country_state_cp_20131,20131,AGU,,
cfd_mx.res_country_state_cp_20132,20132,AGU,,
cfd_mx.res_country_state_cp_20133,20133,AGU,,
cfd_mx.res_country_state_cp_20134,20134,AGU,,
cfd_mx.res_country_state_cp_2013500101,20135,AGU,001,01
cfd_mx.res_country_state_cp_2013600101,20136,AGU,001,01
cfd_mx.res_country_state_cp_2013700101,20137,AGU,001,01
cfd_mx.res_country_state_cp_2013800101,20138,AGU,001,01
cfd_mx.res_country_state_cp_20139,20139,AGU,,
cfd_mx.res_country_state_cp_2014000101,20140,AGU,001,01
cfd_mx.res_country_state_cp_20141,20141,AGU,,
cfd_mx.res_country_state_cp_20142,20142,AGU,,
cfd_mx.res_country_state_cp_20143,20143,AGU,,
cfd_mx.res_country_state_cp_20144,20144,AGU,,
cfd_mx.res_country_state_cp_20145,20145,AGU,,
cfd_mx.res_country_state_cp_2014600101,20146,AGU,001,01
cfd_mx.res_country_state_cp_20147,20147,AGU,,
cfd_mx.res_country_state_cp_20148,20148,AGU,,
cfd_mx.res_country_state_cp_2014900101,20149,AGU,001,01
cfd_mx.res_country_state_cp_2015000101,20150,AGU,001,01
cfd_mx.res_country_state_cp_20151,20151,AGU,,
cfd_mx.res_country_state_cp_20152,20152,AGU,,
cfd_mx.res_country_state_cp_20153,20153,AGU,,
cfd_mx.res_country_state_cp_20154,20154,AGU,,
cfd_mx.res_country_state_cp_20155,20155,AGU,,
cfd_mx.res_country_state_cp_20156,20156,AGU,,
cfd_mx.res_country_state_cp_2015700101,20157,AGU,001,01
cfd_mx.res_country_state_cp_2015800101,20158,AGU,001,01
cfd_mx.res_country_state_cp_2015900101,20159,AGU,001,01
cfd_mx.res_country_state_cp_2016000101,20160,AGU,001,01
cfd_mx.res_country_state_cp_20161,20161,AGU,,
cfd_mx.res_country_state_cp_20162,20162,AGU,,
cfd_mx.res_country_state_cp_20163,20163,AGU,,
cfd_mx.res_country_state_cp_2016400101,20164,AGU,001,01
cfd_mx.res_country_state_cp_20165,20165,AGU,,
cfd_mx.res_country_state_cp_20166,20166,AGU,,
cfd_mx.res_country_state_cp_20167,20167,AGU,,
cfd_mx.res_country_state_cp_20168,20168,AGU,,
cfd_mx.res_country_state_cp_2016900101,20169,AGU,001,01
cfd_mx.res_country_state_cp_2017000101,20170,AGU,001,01
cfd_mx.res_country_state_cp_20171,20171,AGU,,
cfd_mx.res_country_state_cp_2017200101,20172,AGU,001,01
cfd_mx.res_country_state_cp_20173,20173,AGU,,
cfd_mx.res_country_state_cp_2017400101,20174,AGU,001,01
cfd_mx.res_country_state_cp_2017500101,20175,AGU,001,01
cfd_mx.res_country_state_cp_20176,20176,AGU,,
cfd_mx.res_country_state_cp_2017700101,20177,AGU,001,01
cfd_mx.res_country_state_cp_20178,20178,AGU,,
cfd_mx.res_country_state_cp_2017900101,20179,AGU,001,01
cfd_mx.res_country_state_cp_2018000101,20180,AGU,001,01
cfd_mx.res_country_state_cp_20181,20181,AGU,,
cfd_mx.res_country_state_cp_20182,20182,AGU,,
cfd_mx.res_country_state_cp_20183,20183,AGU,,
cfd_mx.res_country_state_cp_20184,20184,AGU,,
cfd_mx.res_country_state_cp_20185,20185,AGU,,
cfd_mx.res_country_state_cp_20186,20186,AGU,,
cfd_mx.res_country_state_cp_20187,20187,AGU,,
cfd_mx.res_country_state_cp_20188,20188,AGU,,
cfd_mx.res_country_state_cp_20189,20189,AGU,,
cfd_mx.res_country_state_cp_2019000101,20190,AGU,001,01
cfd_mx.res_country_state_cp_20191,20191,AGU,,
cfd_mx.res_country_state_cp_20192,20192,AGU,,
cfd_mx.res_country_state_cp_20193,20193,AGU,,
cfd_mx.res_country_state_cp_20194,20194,AGU,,
cfd_mx.res_country_state_cp_20195,20195,AGU,,
cfd_mx.res_country_state_cp_2019600101,20196,AGU,001,01
cfd_mx.res_country_state_cp_20197,20197,AGU,,
cfd_mx.res_country_state_cp_2019800101,20198,AGU,001,01
cfd_mx.res_country_state_cp_2019900101,20199,AGU,001,01
cfd_mx.res_country_state_cp_2020000101,20200,AGU,001,01
cfd_mx.res_country_state_cp_20201,20201,AGU,,
cfd_mx.res_country_state_cp_20202,20202,AGU,,
cfd_mx.res_country_state_cp_20203,20203,AGU,,
cfd_mx.res_country_state_cp_20204,20204,AGU,,
cfd_mx.res_country_state_cp_2020500101,20205,AGU,001,01
cfd_mx.res_country_state_cp_2020600101,20206,AGU,001,01
cfd_mx.res_country_state_cp_2020700101,20207,AGU,001,01
cfd_mx.res_country_state_cp_2020800101,20208,AGU,001,01
cfd_mx.res_country_state_cp_20209,20209,AGU,,
cfd_mx.res_country_state_cp_2021000101,20210,AGU,001,01
cfd_mx.res_country_state_cp_20211,20211,AGU,,
cfd_mx.res_country_state_cp_20212,20212,AGU,,
cfd_mx.res_country_state_cp_20213,20213,AGU,,
cfd_mx.res_country_state_cp_20214,20214,AGU,,
cfd_mx.res_country_state_cp_20215,20215,AGU,,
cfd_mx.res_country_state_cp_2021600101,20216,AGU,001,01
cfd_mx.res_country_state_cp_2021700101,20217,AGU,001,01
cfd_mx.res_country_state_cp_2021800101,20218,AGU,001,01
cfd_mx.res_country_state_cp_2021900101,20219,AGU,001,01
cfd_mx.res_country_state_cp_2022000101,20220,AGU,001,01
cfd_mx.res_country_state_cp_20221,20221,AGU,,
cfd_mx.res_country_state_cp_20222,20222,AGU,,
cfd_mx.res_country_state_cp_20223,20223,AGU,,
cfd_mx.res_country_state_cp_20224,20224,AGU,,
cfd_mx.res_country_state_cp_20225,20225,AGU,,
cfd_mx.res_country_state_cp_20226,20226,AGU,,
cfd_mx.res_country_state_cp_20227,20227,AGU,,
cfd_mx.res_country_state_cp_20228,20228,AGU,,
cfd_mx.res_country_state_cp_2022900101,20229,AGU,001,01
cfd_mx.res_country_state_cp_2023000101,20230,AGU,001,01
cfd_mx.res_country_state_cp_20231,20231,AGU,,
cfd_mx.res_country_state_cp_20232,20232,AGU,,
cfd_mx.res_country_state_cp_20233,20233,AGU,,
cfd_mx.res_country_state_cp_2023400101,20234,AGU,001,01
cfd_mx.res_country_state_cp_2023500101,20235,AGU,001,01
cfd_mx.res_country_state_cp_2023600101,20236,AGU,001,01
cfd_mx.res_country_state_cp_2023700101,20237,AGU,001,01
cfd_mx.res_country_state_cp_2023800101,20238,AGU,001,01
cfd_mx.res_country_state_cp_2023900101,20239,AGU,001,01
cfd_mx.res_country_state_cp_2024000101,20240,AGU,001,01
cfd_mx.res_country_state_cp_20241,20241,AGU,,
cfd_mx.res_country_state_cp_20242,20242,AGU,,
cfd_mx.res_country_state_cp_20243,20243,AGU,,
cfd_mx.res_country_state_cp_20244,20244,AGU,,
cfd_mx.res_country_state_cp_20245,20245,AGU,,
