id,clave,name
cfd_mx.cfd_mx_prodserv_10122003,10122003,Comida viva para reptiles
cfd_mx.cfd_mx_prodserv_10122100,10122100,Comida para animales variados
cfd_mx.cfd_mx_prodserv_10122101,10122101,Comida para cerdos
cfd_mx.cfd_mx_prodserv_10122102,10122102,Comida para visones
cfd_mx.cfd_mx_prodserv_10122103,10122103,Comida para monos
cfd_mx.cfd_mx_prodserv_10122104,10122104,Comida para conejos
cfd_mx.cfd_mx_prodserv_10131500,10131500,Cobertizos para animales
cfd_mx.cfd_mx_prodserv_10131506,10131506,Establos para ganado
cfd_mx.cfd_mx_prodserv_10131507,10131507,Casas para mascotas domesticadas
cfd_mx.cfd_mx_prodserv_10131508,10131508,Camas para mascotas
cfd_mx.cfd_mx_prodserv_10131600,10131600,Recipientes para animales
cfd_mx.cfd_mx_prodserv_10131601,10131601,Jaulas o sus accesorios
cfd_mx.cfd_mx_prodserv_10131602,10131602,Perreras
cfd_mx.cfd_mx_prodserv_10131603,10131603,Equipaje para el transporte de animales
cfd_mx.cfd_mx_prodserv_10131604,10131604,Correas para perros
cfd_mx.cfd_mx_prodserv_10131700,10131700,Hábitat para animales
cfd_mx.cfd_mx_prodserv_10131701,10131701,Terrarios
cfd_mx.cfd_mx_prodserv_10131702,10131702,Acuarios
cfd_mx.cfd_mx_prodserv_10141500,10141500,Talabartería
cfd_mx.cfd_mx_prodserv_10141501,10141501,Sillas de montar
cfd_mx.cfd_mx_prodserv_10141502,10141502,Fustas y látigos
cfd_mx.cfd_mx_prodserv_10141503,10141503,Herraduras para caballo
cfd_mx.cfd_mx_prodserv_10141504,10141504,Herraduras para mula
cfd_mx.cfd_mx_prodserv_10141505,10141505,Sillín o pelero
cfd_mx.cfd_mx_prodserv_10141600,10141600,Arneses
cfd_mx.cfd_mx_prodserv_10141601,10141601,Bridas
cfd_mx.cfd_mx_prodserv_10141602,10141602,Yugos
cfd_mx.cfd_mx_prodserv_10141603,10141603,Bocados para caballos
cfd_mx.cfd_mx_prodserv_10141604,10141604,Riendas
cfd_mx.cfd_mx_prodserv_10141605,10141605,Estribos
cfd_mx.cfd_mx_prodserv_10141606,10141606,Correas o traíllas
cfd_mx.cfd_mx_prodserv_10141607,10141607,Arneses de cuello para animales
cfd_mx.cfd_mx_prodserv_10141608,10141608,Arneses o sus accesorios
cfd_mx.cfd_mx_prodserv_10141609,10141609,Sujetadores
cfd_mx.cfd_mx_prodserv_10141610,10141610,Bozales
cfd_mx.cfd_mx_prodserv_10141611,10141611,Soportes para correas
cfd_mx.cfd_mx_prodserv_10151500,10151500,Semillas y plántulas vegetales
cfd_mx.cfd_mx_prodserv_10151501,10151501,Semillas o plántulas de fríjol
cfd_mx.cfd_mx_prodserv_10151502,10151502,Semillas o plántulas de zanahoria
cfd_mx.cfd_mx_prodserv_10151503,10151503,Semillas o plántulas de apio
cfd_mx.cfd_mx_prodserv_10151504,10151504,Semillas o plántulas de chiles
cfd_mx.cfd_mx_prodserv_10151505,10151505,Semillas o plántulas de calabacín
cfd_mx.cfd_mx_prodserv_10151506,10151506,Semillas o plántulas de alverja
cfd_mx.cfd_mx_prodserv_10151507,10151507,Semillas o plántulas de pepino cohombro
cfd_mx.cfd_mx_prodserv_10151508,10151508,Semillas o plántulas de berenjena
cfd_mx.cfd_mx_prodserv_10151509,10151509,Semillas o plántulas de endivias
cfd_mx.cfd_mx_prodserv_10151510,10151510,Semillas o plántulas de ajo
cfd_mx.cfd_mx_prodserv_10151511,10151511,Semillas o plántulas de puerro
cfd_mx.cfd_mx_prodserv_10151512,10151512,Semillas o plántulas de lechuga
cfd_mx.cfd_mx_prodserv_10151513,10151513,Semillas o plántulas de maíz
cfd_mx.cfd_mx_prodserv_10151514,10151514,Semillas o plántulas de melón
cfd_mx.cfd_mx_prodserv_10151515,10151515,Semillas o plántulas cebolla
cfd_mx.cfd_mx_prodserv_10151516,10151516,Semillas o plántulas de soya
cfd_mx.cfd_mx_prodserv_10151517,10151517,Semillas o plántulas de espinaca
cfd_mx.cfd_mx_prodserv_10151518,10151518,Semillas o plántulas de tomate
cfd_mx.cfd_mx_prodserv_10151519,10151519,Semillas o plántulas de nabo
cfd_mx.cfd_mx_prodserv_10151520,10151520,Semillas o plántulas de acelga
cfd_mx.cfd_mx_prodserv_10151521,10151521,Semillas o plántulas de pimiento morrón
cfd_mx.cfd_mx_prodserv_10151522,10151522,Semillas o plántulas de remolacha
cfd_mx.cfd_mx_prodserv_10151523,10151523,Semillas o plántulas de coliflor
cfd_mx.cfd_mx_prodserv_10151524,10151524,Semillas o plántulas de perejil
cfd_mx.cfd_mx_prodserv_10151525,10151525,Semillas o plántulas de brócoli
cfd_mx.cfd_mx_prodserv_10151526,10151526,Semillas o plántulas de repollo
cfd_mx.cfd_mx_prodserv_10151527,10151527,Semillas o plántulas de papa
cfd_mx.cfd_mx_prodserv_10151528,10151528,Semillas o plántulas de batata
cfd_mx.cfd_mx_prodserv_10151529,10151529,Semillas o plántulas de calabaza
cfd_mx.cfd_mx_prodserv_10151530,10151530,Semillas o plántulas de rábano
cfd_mx.cfd_mx_prodserv_10151531,10151531,Semillas o plántulas de repollitos de bruselas
cfd_mx.cfd_mx_prodserv_10151532,10151532,Semillas o plántulas de ahuyama
cfd_mx.cfd_mx_prodserv_10151533,10151533,Semillas o plántulas de okra
cfd_mx.cfd_mx_prodserv_10151534,10151534,Semillas o plántulas de melón cantalupo
